# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/work/07368/sbes29/ls6/db/Amil.coding.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.txt" "-T" "64" "--primary" "o0.bam" "o10.bam" "o1.bam" "o2.bam" "o3.bam" "o4.bam" "o6.bam" "o7.bam" "o8.bam" "o9.bam" "oM1.bam" "w22.bam" "w23.bam" "w24.bam" "w25.bam" "w26.bam" "w27.bam" "w28.bam" "w30.bam" "w31.bam" 
Geneid	Chr	Start	End	Strand	Length	o0.bam	o10.bam	o1.bam	o2.bam	o3.bam	o4.bam	o6.bam	o7.bam	o8.bam	o9.bam	oM1.bam	w22.bam	w23.bam	w24.bam	w25.bam	w26.bam	w27.bam	w28.bam	w30.bam	w31.bam
Amillepora16789	chr10	319560	321966	-	2407	1	6	4	0	0	0	0	2	2	0	0	1	1	0	0	1	0	1	3	0
Amillepora16785	chr10	301858	307307	-	5450	30	33	16	29	10	10	22	23	21	20	19	60	8	18	7	36	13	15	13	8
Amillepora16796	chr10	379820	394573	+	14754	259	246	285	214	112	67	178	203	116	184	127	223	84	117	71	205	109	134	132	81
Amillepora16800	chr10	427276	433019	+	5744	6	6	5	27	6	3	13	4	3	5	9	9	3	9	3	14	8	4	1	3
Amillepora16798	chr10	407702	418133	+	10432	261	219	197	210	129	120	167	171	78	320	103	197	96	139	53	162	99	150	109	129
Amillepora16797	chr10	402308	407282	-	4975	1709	1698	1709	1418	1239	785	1408	1377	565	1471	967	1849	648	1056	386	1204	727	1197	993	944
Amillepora16801	chr10	447137	454446	-	7310	90	36	38	94	55	75	31	95	29	127	19	71	19	38	7	36	67	29	37	17
Amillepora16804	chr10	499826	500605	+	780	91	125	59	116	30	26	37	71	25	67	48	35	24	52	11	47	31	46	38	22
Amillepora16812	chr10	552049	557208	+	5160	403	318	458	315	249	198	231	305	174	301	204	417	179	234	78	270	139	267	247	201
Amillepora16808	chr10	524217	530628	+	6412	31	29	58	17	25	9	23	23	12	20	14	20	21	17	6	18	14	23	15	14
Amillepora16815	chr10	578761	583442	+	4682	690	735	1337	1918	1197	895	1743	640	486	1147	578	2457	790	991	211	1270	505	670	460	830
Amillepora16806	chr10	509028	519995	+	10968	298	216	299	310	208	129	204	230	83	208	116	250	137	187	71	202	126	172	175	138
Amillepora16813	chr10	557392	560593	-	3202	31	37	47	30	29	10	19	20	18	17	20	42	23	10	6	16	12	20	31	17
Amillepora16807	chr10	520681	524138	-	3458	54	45	34	57	23	6	32	52	18	39	31	29	11	35	23	18	23	20	39	15
Amillepora16814	chr10	561324	577819	-	16496	284	295	372	303	278	173	298	276	120	345	187	385	179	233	75	225	190	214	211	169
Amillepora16811	chr10	543127	551955	-	8829	658	524	750	597	390	309	427	413	239	460	414	741	324	347	103	475	268	457	338	169
Amillepora16805	chr10	502299	508613	-	6315	3	17	18	13	1	5	5	5	7	8	5	5	0	2	0	6	2	4	8	0
Amillepora16809	chr10	530873	534770	-	3898	167	173	208	159	138	62	117	111	77	154	133	144	85	103	36	127	70	122	94	58
Amillepora16802	chr10	461162	467337	-	6176	246	315	246	198	148	80	150	209	114	165	125	204	86	126	61	133	170	210	159	122
Amillepora16803	chr10	469024	498354	-	29331	330	387	409	330	165	100	267	298	139	236	265	423	98	230	95	262	176	268	211	158
Amillepora16810	chr10	535880	540044	-	4165	2524	2585	2422	1895	1312	1008	1541	1990	851	1730	1806	2600	889	1518	595	1747	1203	1910	1685	1215
Amillepora16817	chr10	602618	606079	+	3462	76	102	57	89	59	40	56	57	38	90	54	57	18	38	8	65	22	39	50	38
Amillepora16818	chr10	611089	613827	+	2739	20	56	42	46	32	24	38	14	36	38	37	129	20	14	6	36	14	21	11	31
Amillepora16824	chr10	670412	676378	+	5967	49	68	53	70	41	10	48	48	13	34	27	34	18	47	15	27	37	32	29	15
Amillepora16816	chr10	591800	593833	+	2034	139	270	421	231	291	574	229	320	278	482	148	869	289	222	76	319	203	192	72	168
Amillepora16823	chr10	662767	668384	+	5618	0	4	1	2	1	0	0	3	3	4	3	1	1	1	0	1	3	1	0	0
Amillepora16822	chr10	653785	660938	+	7154	25	12	19	16	9	4	10	10	3	15	21	9	8	10	4	11	6	5	18	3
Amillepora16821	chr10	635745	650592	-	14848	709	581	545	1787	759	153	1256	484	150	350	393	877	359	911	207	1189	228	466	367	543
Amillepora16819	chr10	614392	617020	-	2629	306	177	178	200	100	239	306	133	311	419	376	487	67	73	58	147	116	83	120	332
Amillepora16820	chr10	621996	631931	-	9936	36	70	39	51	21	19	39	37	28	26	38	48	20	27	19	34	24	31	25	27
Amillepora16826	chr10	699434	744377	+	44944	59	162	128	166	41	25	84	64	42	62	67	131	24	78	30	154	52	54	64	36
Amillepora16825	chr10	677558	694941	+	17384	1025	867	991	871	1236	658	773	1651	340	2371	583	1551	524	1267	198	1243	824	550	394	480
Amillepora16830	chr10	809375	823674	+	14300	203	359	291	433	316	172	238	416	83	336	126	341	71	327	97	277	198	178	181	132
Amillepora16831	chr10	817961	830244	-	12284	3	4	6	4	3	2	3	0	2	1	1	3	1	4	1	5	3	1	1	5
Amillepora16829	chr10	801508	807448	-	5941	9	6	6	20	10	1	5	10	5	8	4	4	6	4	3	6	2	7	2	4
Amillepora16833	chr10	843376	854059	-	10684	40	49	25	34	20	11	19	31	9	30	13	16	8	19	6	46	18	14	9	13
Amillepora16841	chr10	915709	920006	+	4298	191	125	176	205	121	64	106	205	110	109	101	172	38	89	42	127	103	85	81	63
Amillepora16843	chr10	955229	956793	+	1565	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Amillepora16840	chr10	908747	911709	+	2963	25	34	26	17	11	6	6	10	9	15	14	14	8	20	3	18	11	12	14	3
Amillepora16844	chr10	958650	962761	+	4112	1	0	2	2	0	0	1	0	0	1	0	0	1	4	0	0	0	0	0	1
Amillepora16845	chr10	962825	963451	+	627	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16836	chr10	876575	882033	-	5459	4	4	3	7	2	0	0	3	3	7	0	5	2	2	1	2	4	4	1	1
Amillepora16834	chr10	862727	869790	-	7064	26	26	10	15	7	2	4	7	2	16	7	4	4	5	4	7	2	10	5	2
Amillepora16838	chr10	893468	893845	-	378	4	4	4	18	4	0	1	9	0	2	2	5	0	1	1	12	0	1	1	1
Amillepora16839	chr10	899861	906171	-	6311	14	9	13	17	22	5	13	21	2	24	35	26	20	8	7	27	8	19	13	18
Amillepora16837	chr10	884924	889458	-	4535	30	5	5	8	4	9	1	15	3	27	3	6	4	5	2	10	5	5	1	1
Amillepora16835	chr10	871055	872906	-	1852	3	3	12	2	5	2	4	7	0	22	7	19	7	21	19	18	24	19	2	8
Amillepora16842	chr10	944692	944959	+	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16849	chr10	1017819	1023926	+	6108	15	29	19	25	21	11	18	31	14	20	35	17	17	24	10	15	16	22	15	14
Amillepora16846	chr10	985156	991593	+	6438	65	71	78	37	44	31	26	28	20	27	57	49	23	33	20	35	25	37	43	30
Amillepora16852	chr10	1073221	1080690	+	7470	12	26	28	36	6	8	10	14	10	11	9	18	4	11	3	13	6	5	3	2
Amillepora16848	chr10	1007914	1015920	+	8007	14	19	13	15	5	2	7	13	4	12	21	9	5	8	9	11	2	7	19	4
Amillepora16847	chr10	997844	1003675	+	5832	32	96	131	57	32	33	70	30	32	95	67	73	41	38	10	44	34	33	44	29
Amillepora16850	chr10	1026335	1038625	-	12291	207	229	250	276	256	121	230	188	84	198	136	232	96	143	64	180	132	144	139	123
Amillepora16851	chr10	1040973	1072966	-	31994	502	770	724	334	316	155	327	291	234	537	508	400	221	276	159	350	233	256	303	262
Amillepora16855	chr10	1128884	1134241	+	5358	23	37	27	29	20	7	26	22	15	22	13	29	6	16	5	15	9	18	25	12
Amillepora16858	chr10	1160065	1166298	-	6234	4	21	19	15	4	6	12	8	8	7	6	10	4	9	4	15	3	11	11	8
Amillepora16859	chr10	1166914	1173960	-	7047	25	62	52	59	12	36	45	31	17	44	38	78	16	28	8	38	12	32	24	9
Amillepora16853	chr10	1089763	1090734	-	972	3	3	2	7	3	2	3	11	2	3	1	4	0	6	1	3	6	1	5	0
Amillepora16856	chr10	1136346	1145909	-	9564	27	36	83	114	38	16	54	111	12	137	23	85	59	68	10	75	18	21	48	42
Amillepora16854	chr10	1108250	1127670	-	19421	101	114	94	111	80	72	81	99	41	76	55	112	42	106	22	95	43	44	69	40
Amillepora16860	chr10	1175766	1186441	-	10676	38	36	25	43	8	4	15	24	18	22	38	20	9	40	18	26	25	47	34	16
Amillepora16857	chr10	1146957	1156217	-	9261	31	34	44	29	15	12	24	23	19	33	28	43	11	28	14	39	7	26	23	18
Amillepora16873	chr10	1268602	1271796	+	3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16872	chr10	1259999	1266247	-	6249	696	518	473	388	292	334	456	436	196	580	317	494	248	340	107	390	225	433	392	316
Amillepora16861	chr10	1187532	1191492	-	3961	59	86	73	49	42	34	65	56	10	38	43	103	39	30	26	62	21	61	76	52
Amillepora16863	chr10	1201565	1207621	-	6057	314	494	479	275	191	189	268	595	91	384	151	355	185	191	79	351	156	245	186	309
Amillepora16862	chr10	1193724	1201372	-	7649	19	37	48	35	22	22	25	27	13	22	17	62	24	21	11	23	14	33	29	16
Amillepora16867	chr10	1235039	1235617	-	579	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora16864	chr10	1210027	1217850	-	7824	43	72	54	44	21	23	35	35	10	35	17	52	22	24	10	31	18	34	18	14
Amillepora16871	chr10	1251924	1253961	-	2038	1	3	9	5	2	0	4	7	0	0	1	5	2	3	1	1	3	0	1	1
Amillepora16865	chr10	1232818	1233158	-	341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16868	chr10	1237177	1237977	-	801	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16866	chr10	1234787	1234988	-	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16877	chr10	1329314	1343071	+	13758	48	54	45	50	14	11	18	36	16	36	25	36	14	24	7	39	18	34	34	18
Amillepora16875	chr10	1311280	1322125	-	10846	162	187	169	186	71	42	97	147	45	107	106	180	54	88	53	138	86	81	110	71
Amillepora16876	chr10	1327250	1328661	-	1412	1	1	3	4	1	0	0	1	1	2	1	1	0	1	0	18	0	0	8	0
Amillepora16874	chr10	1277162	1302485	-	25324	178	177	204	228	124	41	134	174	54	92	96	135	49	70	32	109	78	108	114	99
Amillepora16891	chr10	1480991	1489453	+	8463	33	23	21	12	2	22	3	13	5	3	6	11	0	13	8	26	8	9	20	4
Amillepora16888	chr10	1468808	1471174	+	2367	11	8	14	5	8	4	9	15	3	6	5	6	3	4	1	6	5	6	2	7
Amillepora16890	chr10	1472970	1474635	+	1666	129	30	176	78	17	12	72	76	43	106	20	30	105	26	16	19	11	92	27	15
Amillepora16886	chr10	1464797	1467424	+	2628	1	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Amillepora16889	chr10	1471835	1472866	-	1032	5	1	3	3	0	1	1	0	2	1	1	3	0	0	0	1	1	0	2	1
Amillepora16878	chr10	1362844	1434109	-	71266	109	129	154	122	53	38	76	84	69	64	75	115	39	72	28	72	58	60	63	41
Amillepora16884	chr10	1441209	1443746	-	2538	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Amillepora16885	chr10	1443755	1447431	-	3677	2	2	3	1	1	0	0	0	1	0	1	0	2	3	0	2	0	0	2	0
Amillepora16898	chr10	1543563	1557328	+	13766	226	228	220	206	97	75	455	120	55	140	128	191	72	421	57	218	99	163	137	102
Amillepora16892	chr10	1492348	1493856	+	1509	6	16	2	19	8	1	17	6	6	2	4	10	0	16	1	8	8	3	9	3
Amillepora16893	chr10	1495560	1500277	+	4718	16	34	14	36	30	1	47	10	34	27	10	27	2	36	5	11	28	20	19	9
Amillepora16899	chr10	1558063	1578487	-	20425	661	657	539	640	216	173	281	426	248	242	563	221	194	279	122	484	299	340	276	176
Amillepora16897	chr10	1529597	1543308	-	13712	22	33	34	36	9	4	22	16	15	11	37	16	10	12	5	32	13	20	16	8
Amillepora16894	chr10	1503729	1511093	-	7365	4	12	2	4	1	1	4	0	0	0	3	6	0	0	0	0	0	3	0	1
Amillepora16896	chr10	1520092	1526551	-	6460	3	18	14	8	7	1	5	6	3	6	5	6	2	5	3	4	2	5	9	3
Amillepora16895	chr10	1517108	1519295	-	2188	1	1	0	0	0	0	9	0	0	1	4	2	0	0	2	0	0	0	0	0
Amillepora16902	chr10	1650051	1652561	+	2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16900	chr10	1594546	1631644	+	37099	53	26	38	34	20	11	15	28	14	32	42	18	16	14	16	21	15	18	32	13
Amillepora16901	chr10	1635058	1659621	-	24564	523	525	424	398	391	228	335	376	253	395	254	619	217	369	136	391	377	373	287	326
Amillepora16903	chr10	1663588	1677639	-	14052	14	14	47	26	3	12	9	8	11	12	15	29	8	7	5	22	11	6	14	12
Amillepora16905	chr10	1720738	1741689	-	20952	403	515	817	492	333	281	446	404	187	450	493	582	254	281	113	343	187	319	266	217
Amillepora16904	chr10	1682851	1715395	-	32545	303	847	362	632	377	167	286	293	200	475	220	290	323	296	93	374	108	332	390	231
Amillepora16906	chr10	1747056	1756457	-	9402	61	61	103	89	59	19	47	53	23	47	27	71	45	44	19	60	23	31	58	37
Amillepora16914	chr10	1829427	1837350	+	7924	108	57	125	87	50	213	78	80	57	79	56	65	52	22	12	39	54	54	63	34
Amillepora16913	chr10	1819893	1828700	+	8808	241	235	292	198	94	132	125	190	92	198	179	268	133	124	49	161	106	282	125	112
Amillepora16908	chr10	1774682	1799113	-	24432	35	44	47	40	20	5	34	18	8	11	40	50	7	7	14	25	28	19	22	10
Amillepora16907	chr10	1763368	1773118	-	9751	30	23	48	22	4	12	9	5	14	33	11	36	7	20	8	36	19	48	42	7
Amillepora16915	chr10	1851236	1854953	-	3718	1	3	2	4	5	2	0	0	0	2	0	2	1	1	0	3	1	2	3	2
Amillepora16917	chr10	1883907	1884492	+	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16921	chr10	1938157	1938453	-	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16919	chr10	1935341	1937106	-	1766	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora16918	chr10	1915346	1917447	-	2102	0	5	6	5	2	4	2	4	3	3	4	6	2	2	0	4	2	12	1	1
Amillepora16920	chr10	1937314	1937680	-	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16922	chr10	1992501	2003703	+	11203	85	187	88	51	26	22	41	53	47	82	62	43	23	52	23	46	36	43	42	37
Amillepora16928	chr10	2048046	2071807	+	23762	505	612	617	524	411	198	376	572	156	524	310	426	224	290	167	365	288	375	331	254
Amillepora16926	chr10	2026251	2045618	+	19368	20	23	30	36	15	5	24	22	5	22	16	25	14	9	8	49	16	16	14	10
Amillepora16925	chr10	2021479	2025695	-	4217	5	8	5	3	1	7	2	7	1	4	3	8	1	3	2	10	12	3	7	2
Amillepora16923	chr10	2007159	2018105	-	10947	1604	1645	1658	1211	1031	663	1033	1151	473	1259	1058	1373	655	960	375	1071	789	1099	987	821
Amillepora16929	chr10	2073302	2077905	+	4604	104	141	120	121	122	122	101	111	50	141	134	150	100	57	22	73	60	61	60	83
Amillepora16931	chr10	2086150	2093574	+	7425	1267	1179	1159	987	739	466	796	929	403	965	695	1039	481	749	393	957	674	863	771	601
Amillepora16932	chr10	2095833	2112136	+	16304	149	125	145	110	84	32	72	110	50	92	96	100	38	60	22	92	58	68	85	47
Amillepora16930	chr10	2082697	2084961	+	2265	2520	2016	2373	2248	1461	1259	1745	1938	866	2218	1575	2162	1601	1566	590	1919	1229	1940	1542	1598
Amillepora16933	chr10	2112461	2127562	+	15102	175	124	124	167	118	38	119	202	44	201	120	185	125	75	110	114	72	158	157	66
Amillepora16934	chr10	2130356	2145998	-	15643	55	92	129	70	77	31	70	141	29	49	58	114	15	29	23	67	32	33	47	40
Amillepora16937	chr10	2169383	2182705	+	13323	36	13	28	167	63	36	39	53	4	38	51	223	23	25	22	103	20	40	51	57
Amillepora16946	chr10	2249320	2251249	+	1930	85	103	94	66	36	34	33	64	33	57	42	67	32	34	18	47	40	67	40	33
Amillepora16947	chr10	2254109	2256981	+	2873	65	95	92	48	50	28	46	75	28	55	49	60	27	53	31	57	45	58	46	29
Amillepora16939	chr10	2190122	2204488	+	14367	110	80	66	104	35	14	63	65	45	39	44	105	15	43	26	73	54	62	53	40
Amillepora16941	chr10	2210509	2221906	+	11398	37	44	63	59	27	19	27	39	10	41	23	46	32	33	13	31	32	37	46	11
Amillepora16936	chr10	2148874	2162506	+	13633	86	70	105	136	56	20	75	66	18	53	48	226	19	60	38	56	33	42	44	22
Amillepora16944	chr10	2231833	2240923	+	9091	832	484	655	499	465	292	377	474	183	521	300	648	232	401	141	406	226	402	306	269
Amillepora16943	chr10	2226348	2230411	+	4064	80	87	99	92	65	39	56	58	32	79	59	84	66	59	15	67	48	68	70	64
Amillepora16940	chr10	2205919	2210439	-	4521	63	67	36	62	12	10	33	52	27	25	9	60	13	24	20	34	27	52	33	22
Amillepora16945	chr10	2241694	2249302	-	7609	167	145	179	216	94	65	121	158	45	133	84	136	53	139	62	141	75	83	67	64
Amillepora16948	chr10	2256993	2263971	-	6979	235	295	277	257	107	83	196	247	86	197	186	196	122	124	45	135	75	168	155	100
Amillepora16958	chr10	2364411	2371316	+	6906	7	9	9	9	4	4	7	8	2	4	5	5	3	6	1	10	6	5	8	3
Amillepora16949	chr10	2264930	2272038	+	7109	231	297	436	251	74	65	263	117	87	118	317	175	77	182	97	224	99	122	164	104
Amillepora16956	chr10	2344139	2349159	+	5021	1	2	3	2	0	0	2	3	3	2	2	0	1	0	0	1	5	3	2	2
Amillepora16952	chr10	2282515	2301395	+	18881	434	508	636	554	279	173	398	365	166	316	332	488	229	286	134	400	187	275	330	219
Amillepora16950	chr10	2272960	2276812	+	3853	20	25	21	25	43	14	25	12	3	34	16	18	18	5	5	21	9	14	14	13
Amillepora16951	chr10	2277099	2282404	+	5306	157	164	131	178	153	73	83	156	53	138	73	173	79	97	35	121	83	109	92	99
Amillepora16954	chr10	2322232	2337002	+	14771	0	2	3	2	3	0	1	1	2	0	1	1	1	3	0	2	1	3	1	0
Amillepora16953	chr10	2299488	2336587	-	37100	463	460	509	655	278	114	344	538	99	378	205	447	161	428	106	357	198	309	287	257
Amillepora16957	chr10	2351942	2359093	-	7152	165	183	241	183	125	88	125	163	75	140	116	142	78	113	24	116	95	134	95	113
Amillepora16968	chr10	2457800	2459788	+	1989	13	17	11	13	4	6	11	4	4	11	6	12	2	3	3	7	16	10	11	2
Amillepora16964	chr10	2432115	2437328	+	5214	66	73	48	37	49	13	26	31	25	41	31	48	7	19	8	28	37	42	44	11
Amillepora16961	chr10	2387585	2408683	+	21099	65	74	98	70	26	15	32	38	30	47	39	66	13	25	14	58	32	30	31	13
Amillepora16959	chr10	2372993	2387315	+	14323	225	206	116	156	109	50	107	261	83	222	126	153	72	116	49	144	98	143	121	117
Amillepora16965	chr10	2441088	2445633	+	4546	1	198	73	38	81	1	23	6	6	12	0	603	4	7	4	8	14	0	13	121
Amillepora16962	chr10	2410406	2432155	-	21750	96	108	127	110	88	41	71	86	38	57	68	84	48	55	33	58	71	57	103	62
Amillepora16971	chr10	2477548	2478199	-	652	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16967	chr10	2454222	2455082	-	861	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora16966	chr10	2444879	2445700	-	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16977	chr10	2543262	2546448	+	3187	20	29	26	25	26	12	13	23	8	24	4	22	18	10	6	13	7	28	20	10
Amillepora16972	chr10	2496949	2507124	+	10176	18	18	12	37	13	4	15	6	3	6	12	25	6	10	6	9	7	15	6	4
Amillepora16974	chr10	2520879	2525372	+	4494	11	11	11	120	77	35	113	9	17	67	24	117	52	118	10	110	24	23	10	30
Amillepora16975	chr10	2526496	2539042	+	12547	272	298	270	263	156	87	178	187	108	229	163	279	93	110	81	217	132	174	128	150
Amillepora16979	chr10	2552255	2572092	+	19838	216	215	276	212	135	80	173	195	101	178	109	259	94	132	71	177	128	155	138	99
Amillepora16980	chr10	2572280	2580758	+	8479	2	7	1	2	0	0	0	1	2	1	0	1	0	1	0	0	1	0	0	0
Amillepora16978	chr10	2546984	2548927	-	1944	262	288	398	263	170	145	241	208	86	302	223	270	142	203	97	243	126	198	146	138
Amillepora16976	chr10	2538169	2543235	-	5067	61	40	77	55	26	15	43	36	9	61	27	56	12	33	9	44	27	40	23	26
Amillepora16973	chr10	2515072	2515797	-	726	4	6	12	8	6	2	10	2	3	3	5	8	2	2	2	2	2	1	8	1
Amillepora16985	chr10	2644233	2649255	+	5023	35	34	36	15	18	6	19	21	8	31	16	18	9	16	7	23	16	23	16	4
Amillepora16984	chr10	2630050	2643072	+	13023	7	10	10	6	1	2	3	4	2	9	5	4	3	8	1	6	5	3	7	4
Amillepora16988	chr10	2669627	2676122	+	6496	315	315	428	301	90	99	145	209	205	242	288	352	137	201	89	214	135	164	146	91
Amillepora16982	chr10	2597475	2611037	+	13563	230	337	288	317	162	96	182	223	82	222	166	240	107	176	77	236	120	188	137	109
Amillepora16983	chr10	2612129	2625392	+	13264	188	230	204	211	139	81	186	229	96	178	123	175	76	134	67	132	94	155	107	99
Amillepora16991	chr10	2680343	2684011	+	3669	24	30	39	19	18	11	24	35	15	32	25	36	8	21	3	35	25	11	22	15
Amillepora16987	chr10	2655373	2659673	+	4301	206	100	119	103	85	116	101	150	51	165	100	121	40	110	31	117	78	126	66	87
Amillepora16986	chr10	2649324	2652208	-	2885	72	75	82	49	58	37	53	58	30	55	52	85	25	54	18	59	45	52	40	46
Amillepora16981	chr10	2581127	2590420	-	9294	401	387	426	691	298	197	434	344	123	305	287	460	229	268	128	401	238	297	249	222
Amillepora16989	chr10	2676664	2679250	-	2587	14	17	10	13	10	7	13	11	4	13	4	9	5	5	2	8	6	9	9	5
Amillepora16990	chr10	2679530	2680327	-	798	0	0	0	1	0	0	0	3	1	1	0	0	0	1	0	2	1	0	1	1
Amillepora16993	chr10	2699056	2701502	+	2447	97	86	93	73	76	26	86	51	33	76	51	70	48	59	21	74	39	53	54	59
Amillepora16999	chr10	2755363	2784751	+	29389	596	795	677	632	269	167	420	617	372	453	453	550	251	422	186	476	290	346	306	226
Amillepora16997	chr10	2736448	2740601	+	4154	249	251	333	309	145	94	210	207	86	264	139	299	126	179	93	242	109	148	127	156
Amillepora16996	chr10	2726870	2729653	-	2784	22	24	35	28	29	15	26	19	6	25	16	37	14	19	5	18	8	26	6	24
Amillepora16998	chr10	2748793	2755322	-	6530	108	112	69	92	53	38	57	75	36	74	55	76	30	70	14	80	26	50	47	30
Amillepora16992	chr10	2685933	2698043	-	12111	1413	1341	1453	1779	870	664	1165	1368	425	983	750	1502	706	1086	619	1316	863	943	927	813
Amillepora16994	chr10	2703038	2716234	-	13197	316	502	524	395	94	77	194	159	186	232	326	352	103	179	68	225	113	143	174	89
Amillepora16995	chr10	2717896	2724322	-	6427	854	623	717	865	233	292	389	523	284	518	524	660	280	351	178	596	240	480	342	284
Amillepora17006	chr10	2829435	2831933	+	2499	31	19	327	9	7	3	6	3	2	360	4	7	9	13	9	18	4	6	7	4
Amillepora17005	chr10	2818022	2828668	+	10647	312	269	539	551	264	162	484	253	135	246	182	435	247	230	115	404	169	259	170	304
Amillepora17002	chr10	2803259	2809408	+	6150	105	121	182	80	68	37	55	138	70	98	76	92	51	105	39	76	61	101	61	63
Amillepora17007	chr10	2853773	2859131	+	5359	342	252	237	458	279	188	216	296	109	222	135	356	159	241	65	368	185	345	205	180
