amillepora00632 069l
amillepora32889 abcg1-4
amillepora11669 abcg2
amillepora25155 abcg2-2
amillepora25187 abcg2-3
amillepora27525 abcg2-4
amillepora23524 abcg4
amillepora28743 abcg6
amillepora27516 abcg8
amillepora16478 abd12
amillepora27353 abd18
amillepora22024 abh15
amillepora17999 abhd2
amillepora29849 abhd3
amillepora09214 abhd4
amillepora09225 abhd4-2
amillepora09226 abhd4-3
amillepora25132 abhd4-4
amillepora23347 abhd6
amillepora02594 abhd8
amillepora20103 abhda
amillepora24969 abhdb
amillepora20414 abhdd
amillepora00291 abhga
amillepora00292 abhga-2
amillepora00327 abhga-3
amillepora08539 abi2
amillepora30875 abitm
amillepora30900 abitm-2
amillepora01507 abl1
amillepora01512 abl1-2
amillepora25240 abl1-3
amillepora25241 abl1-4
amillepora25243 abl1-5
amillepora25328 abl1-6
amillepora25331 abl1-7
amillepora06514 abl2
amillepora03537 ablm1
amillepora22189 abr
amillepora11749 abral
amillepora04724 abrx1
amillepora00977 abt1
amillepora18500 abtb1
amillepora05958 acaca
amillepora30345 acadl
amillepora01142 acadm
amillepora24920 acads
amillepora32588 acadv
amillepora15510 acap2
amillepora18757 acap2-2
amillepora20831 acap2-3
amillepora18764 acap3
amillepora19435 acatn
amillepora01528 acbd5
amillepora12505 acbd5-2
amillepora01493 acbd6
amillepora01495 acbd6-2
amillepora01526 acbd6-3
amillepora29638 acbp
amillepora22038 acd10
amillepora25171 acd11
amillepora25173 acd11-2
amillepora03410 acdsb
amillepora03439 acdsb-2
amillepora24668 ace
amillepora32553 ace-2
amillepora32555 ace-3
amillepora32556 ace-4
amillepora29389 acer1
amillepora03079 acer2
amillepora24660 acer3
amillepora05130 ach10
amillepora05131 ach10-2
amillepora05184 ach10-3
amillepora13017 ach10-4
amillepora14494 ach10-5
amillepora27349 ach10-6
amillepora14489 acha2
amillepora14492 acha2-2
amillepora03010 acha3
amillepora03011 acha3-2
amillepora04551 acha3-3
amillepora05183 acha3-4
amillepora13019 acha3-5
amillepora35308 acha5
amillepora04552 acha6
amillepora08430 acha6-2
amillepora01486 acha7
amillepora01805 acha7-2
amillepora03009 acha7-3
amillepora03013 acha7-4
amillepora05128 acha7-5
amillepora05185 acha7-6
amillepora08432 acha7-7
amillepora08434 acha7-8
amillepora14493 acha7-9
amillepora22460 acha7-10
amillepora22461 acha7-11
amillepora32132 acha7-12
amillepora32133 acha7-13
amillepora32134 acha7-14
amillepora34985 acha7-15
amillepora03012 acha9
amillepora03107 acha9-2
amillepora06498 achb3
amillepora06503 achb3-2
amillepora06505 achb3-3
amillepora08433 achb3-4
amillepora32135 achb3-5
amillepora01857 acinu
amillepora07379 acinu-2
amillepora10767 acinu-3
amillepora17377 acinu-4
amillepora32837 acinu-5
amillepora06394 ack1
amillepora06517 ack1-2
amillepora06519 ack1-3
amillepora09259 acka
amillepora33172 acka-2
amillepora36449 acka-3
amillepora36922 acka-4
amillepora10991 ackmt
amillepora10023 acl6a
amillepora08365 acly
amillepora27829 acm2
amillepora28164 acm3
amillepora08165 acmsd
amillepora11672 acmsd-2
amillepora23240 aco13
amillepora05079 acoc
amillepora14065 acon
amillepora12170 acot2
amillepora12172 acot2-2
amillepora20465 acox1
amillepora02458 acox3
amillepora11835 acox3-2
amillepora22249 acox3-3
amillepora04468 acp7
amillepora05386 acp7-2
amillepora16438 acp7-3
amillepora16439 acp7-4
amillepora16460 acp7-5
amillepora16541 acph
amillepora18329 acph-2
amillepora18334 acph-3
amillepora12927 acpm
amillepora15237 acs2l
amillepora18162 acsa
amillepora08086 acsf2
amillepora08089 acsf2-2
amillepora16651 acsf2-3
amillepora27518 acsf3
amillepora10475 acsf4
amillepora21258 acsl1
amillepora21260 acsl1-2
amillepora21261 acsl1-3
amillepora24755 acsl4
amillepora21259 acsl5
amillepora15382 acsm1
amillepora01183 acsm3
amillepora01191 acsm3-2
amillepora15380 acsm3-3
amillepora23800 acsm6
amillepora13177 acss3
amillepora10113 actb
amillepora14668 actb-2
amillepora14669 actb-3
amillepora14820 actb-4
amillepora14821 actb-5
amillepora23278 actb-6
amillepora23281 actb-7
amillepora31040 actb-8
amillepora14670 actg
amillepora23282 actg-2
amillepora09932 actn1
amillepora34545 actn3
amillepora03794 actp1
amillepora16915 actp5
amillepora03798 actpc
amillepora18541 acts
amillepora23280 acts-2
amillepora26807 acts-3
amillepora05417 actz
amillepora27251 acv1c
amillepora06975 acy1
amillepora06985 acy1-2
amillepora35892 acy1-3
amillepora37281 acy1-4
amillepora26286 acy3
amillepora26985 acyp1
amillepora20441 ada
amillepora00265 ada10
amillepora03981 ada10-2
amillepora26482 ada10-3
amillepora04613 ada12
amillepora04647 ada12-2
amillepora14683 ada12-3
amillepora21388 ada17
amillepora03772 ada1a
amillepora09126 ada1a-2
amillepora15129 ada1a-3
amillepora21123 ada1a-4
amillepora32026 ada1a-5
amillepora32028 ada1a-6
amillepora32029 ada1a-7
amillepora32041 ada1a-8
amillepora07345 ada1b
amillepora16751 ada1b-2
amillepora16971 ada1b-3
amillepora32159 ada1b-4
amillepora15720 ada29
amillepora28214 ada29-2
amillepora31709 ada29-3
amillepora32657 ada29-4
amillepora35298 ada29-5
amillepora00124 adal
amillepora04614 adam8
amillepora03756 adam9
amillepora03763 adam9-2
amillepora03764 adam9-3
amillepora03947 adam9-4
amillepora14428 adap1
amillepora14699 adap1-2
amillepora14701 adap2
amillepora14148 adas
amillepora09007 adat1
amillepora24849 adat2
amillepora24165 adat3
amillepora16069 adck1
amillepora31894 adck5
amillepora24699 adcl2
amillepora25812 adcy2
amillepora20381 adcy3
amillepora30348 adcy5
amillepora30349 adcy5-2
amillepora08452 adcy9
amillepora16726 adcya
amillepora16727 adcya-2
amillepora16728 adcya-3
amillepora16740 adcya-4
amillepora16741 adcya-5
amillepora03253 adda
amillepora03356 adda-2
amillepora23627 adec1
amillepora25386 adec1-2
amillepora30709 adec1-3
amillepora02125 adf1
amillepora06883 adf1-2
amillepora10943 adf1-3
amillepora11796 adf1-4
amillepora15342 adf1-5
amillepora21089 adf1-6
amillepora25984 adf1-7
amillepora30213 adf1-8
amillepora37220 adf1-9
amillepora19971 adgb
amillepora02919 adh1a
amillepora21406 adhx
amillepora25395 adip
amillepora10608 adipl
amillepora10612 adipl-2
amillepora32193 adipl-3
amillepora04701 adk
amillepora06911 adlo2
amillepora06178 adpgk
amillepora06718 adppt
amillepora14703 adprh
amillepora19323 adprm
amillepora04173 adprs
amillepora18320 adprs-2
amillepora01604 adrb2
amillepora03815 adrb2-2
amillepora10761 adrb2-3
amillepora19470 adrb2-4
amillepora27828 adrb2-5
amillepora21277 adrm1
amillepora14315 adro
amillepora07652 adt2
amillepora06395 adt3
amillepora20213 adx
amillepora05401 aebp1
amillepora36173 aebp1-2
amillepora05011 aebp2
amillepora05027 aebp2-2
amillepora21967 aedo
amillepora25279 aedo-2
amillepora22528 aegp
amillepora03982 aera
amillepora11352 af10
amillepora02915 af9
amillepora20268 afad
amillepora19327 afap1
amillepora19329 afap1-2
amillepora32905 afap1-3
amillepora07998 aff4
amillepora19949 afg1l
amillepora22204 afg1l-2
amillepora08474 afg2h
amillepora03606 afg32
amillepora34044 afg32-2
amillepora16986 ag10a
amillepora16339 agal
amillepora12834 agap1
amillepora24732 agfg1
amillepora01778 aggf1
amillepora30358 agk
amillepora36353 agk-2
amillepora02961 agm1
amillepora21207 ago1
amillepora21612 ago2
amillepora21613 ago2-2
amillepora21614 ago2-3
amillepora21615 ago2-4
amillepora37710 ago2-5
amillepora21205 ago3
amillepora23373 agrb1
amillepora26945 agrb1-2
amillepora24975 agrb2
amillepora03092 agrb3
amillepora27474 agrb3-2
amillepora32559 agrb3-3
amillepora01188 agrd1
amillepora04741 agrd1-2
amillepora20636 agrd1-3
amillepora20838 agrd1-4
amillepora21560 agrd1-5
amillepora21616 agrd1-6
amillepora21944 agrd1-7
amillepora23375 agrd1-8
amillepora23376 agrd1-9
amillepora24589 agrd1-10
amillepora00697 agre2
amillepora26502 agre2-2
amillepora26507 agre2-3
amillepora27636 agre5
amillepora28542 agre5-2
amillepora34801 agre5-3
amillepora16984 agrg4
amillepora18700 agrg4-2
amillepora19020 agrg4-3
amillepora30440 agrg4-4
amillepora18807 agrg6
amillepora00609 agrin
amillepora06028 agrin-2
amillepora10496 agrin-3
amillepora10593 agrin-4
amillepora18682 agrin-5
amillepora18685 agrin-6
amillepora18923 agrin-7
amillepora18925 agrin-8
amillepora31675 agrin-9
amillepora10600 agrl1
amillepora10614 agrl1-2
amillepora11164 agrl1-3
amillepora11179 agrl1-4
amillepora12456 agrl1-5
amillepora18895 agrl1-6
amillepora19063 agrl1-7
amillepora19273 agrl1-8
amillepora23692 agrl1-9
amillepora30548 agrl1-10
amillepora30594 agrl1-11
amillepora31195 agrl1-12
amillepora31203 agrl1-13
amillepora31225 agrl1-14
amillepora31232 agrl1-15
amillepora37067 agrl1-16
amillepora05829 agrl2
amillepora09721 agrl2-2
amillepora18698 agrl2-3
amillepora19270 agrl2-4
amillepora01185 agrl3
amillepora01255 agrl3-2
amillepora03523 agrl3-3
amillepora03524 agrl3-4
amillepora05315 agrl3-5
amillepora08420 agrl3-6
amillepora09533 agrl3-7
amillepora15291 agrl3-8
amillepora18711 agrl3-9
amillepora19271 agrl3-10
amillepora20837 agrl3-11
amillepora21570 agrl3-12
amillepora23294 agrl3-13
amillepora23370 agrl3-14
amillepora26023 agrl3-15
amillepora26035 agrl3-16
amillepora26039 agrl3-17
amillepora18702 agrl4
amillepora18709 agrl4-2
amillepora18713 agrl4-3
amillepora18715 agrl4-4
amillepora03018 agrv1
amillepora14115 agt2
amillepora22492 agtr2
amillepora23319 ahi1
amillepora08484 ahnk
amillepora14877 ahnk-2
amillepora25213 ahnk-3
amillepora13508 ahnk2
amillepora05071 ahr
amillepora14764 ahr-2
amillepora26531 ahr-3
amillepora15812 ahsa1
amillepora16687 aida
amillepora01370 aif1l
amillepora07325 aifm1
amillepora24987 aifm3
amillepora14601 aig1
amillepora14645 aig1-2
amillepora14648 aig1-3
amillepora13503 aim34
amillepora00510 aimp1
amillepora00516 aimp1-2
amillepora13959 aimp2
amillepora21951 aip
amillepora16645 ajl2
amillepora01393 ajm1
amillepora08575 ak1a1
amillepora19910 ak1a1-2
amillepora19911 ak1a1-3
amillepora21984 ak1a1-4
amillepora25250 ak1a1-5
amillepora05797 ak1bf
amillepora18843 ak1bf-2
amillepora19909 ak1bf-3
amillepora22403 aka10
amillepora24728 aka28
amillepora23172 akap1
amillepora12184 akib1
amillepora26618 akib1-2
amillepora19235 akip
amillepora04711 akip1
amillepora05155 akir2
amillepora05160 akir2-2
amillepora29177 akna
amillepora00129 akp13
amillepora06760 akt1
amillepora07395 akt1-2
amillepora11861 akt1-3
amillepora12162 akt1-4
amillepora26609 akt1-5
amillepora34670 akt1-6
amillepora31925 aktip
amillepora28661 akts1
amillepora03852 al1l1
amillepora03858 al1l1-2
amillepora16825 al1l2
amillepora06040 al3a2
amillepora06041 al3a2-2
amillepora18742 al4a1
amillepora01756 al7a1
amillepora16096 al8a1
amillepora20748 al8a1-2
amillepora20762 al8a1-3
amillepora35795 al9a1
amillepora08765 alat2
amillepora08769 alat2-2
amillepora06521 aldh2
amillepora22643 aldoc
amillepora10694 aldr
amillepora14796 alg1
amillepora18556 alg12
amillepora33512 alg13
amillepora26224 alg14
amillepora00047 alg2
amillepora18743 alg3
amillepora07707 alg5
amillepora25206 alg6
amillepora25208 alg6-2
amillepora25209 alg6-3
amillepora07112 alg8
amillepora25754 alg9
amillepora10765 alk
amillepora18196 alk-2
amillepora18197 alk-3
amillepora18198 alk-4
amillepora18199 alk-5
amillepora18200 alk-6
amillepora18201 alk-7
amillepora18203 alk-8
amillepora18204 alk-9
amillepora18205 alk-10
amillepora18207 alk-11
amillepora18209 alk-12
amillepora18210 alk-13
amillepora18213 alk-14
amillepora18214 alk-15
amillepora18219 alk-16
amillepora18220 alk-17
amillepora18221 alk-18
amillepora18238 alk-19
amillepora18239 alk-20
amillepora20941 alk-21
amillepora20980 alk-22
amillepora21095 alk-23
amillepora08568 alkb1
amillepora22425 alkb2
amillepora22433 alkb4
amillepora14514 alkb5
amillepora15220 alkb6
amillepora06900 alkb8
amillepora06108 alkmo
amillepora06113 alkmo-2
amillepora06115 alkmo-3
amillepora06117 alkmo-4
amillepora03872 allc
amillepora03874 allc-2
amillepora03875 allc-3
amillepora18104 allc-4
amillepora18105 allc-5
amillepora18106 allc-6
amillepora18108 allc-7
amillepora18110 allc-8
amillepora18111 allc-9
amillepora32923 allc-10
amillepora32924 allc-11
amillepora32925 allc-12
amillepora32926 allc-13
amillepora32927 allc-14
amillepora32930 allc-15
amillepora18265 alma7
amillepora18267 alma7-2
amillepora18269 alma7-3
amillepora26274 alma7-4
amillepora26929 alma7-5
amillepora26930 alma7-6
amillepora26932 alma7-7
amillepora26933 alma7-8
amillepora26940 alma7-9
amillepora26941 alma7-10
amillepora34779 alma7-11
amillepora34780 alma7-12
amillepora37624 alma7-13
amillepora37625 alma7-14
amillepora38136 alma7-15
amillepora18587 alo
amillepora25601 alp1
amillepora28840 alp1-2
amillepora29952 alp1-3
amillepora06169 alpk1
amillepora36989 alpk1-2
amillepora36990 alpk1-3
amillepora00954 alpl
amillepora02189 alpl-2
amillepora09865 alpl-3
amillepora11795 alpl-4
amillepora11828 alpl-5
amillepora12166 alpl-6
amillepora12765 alpl-7
amillepora15731 alpl-8
amillepora18624 alpl-9
amillepora21088 alpl-10
amillepora23904 alpl-11
amillepora36501 alpl-12
amillepora37364 alpl-13
amillepora06071 alps
amillepora16034 alps-2
amillepora16036 alps-3
amillepora34731 alps-4
amillepora34734 alps-5
amillepora11761 alr
amillepora13943 alr-2
amillepora25797 alr-3
amillepora25161 als2
amillepora25181 als2-2
amillepora02935 alx4
amillepora15407 alx4-2
amillepora03003 amacr
amillepora01815 amd
amillepora02560 amd-2
amillepora02561 amd-3
amillepora08628 amfr
amillepora20650 amnls
amillepora20659 amnls-2
amillepora24137 amot
amillepora23224 amp1
amillepora23498 ampd2
amillepora23513 ampd2-2
amillepora37055 ampd2-3
amillepora04188 ampe
amillepora04190 ampe-2
amillepora33506 ampe-3
amillepora33507 ampe-4
amillepora33532 ampe-5
amillepora03950 ampl
amillepora30422 ampo
amillepora21541 ampq
amillepora13558 amra1
amillepora09797 amrp
amillepora17756 amrp-2
amillepora21564 amrp-3
amillepora13109 amt1
amillepora30402 amt3
amillepora30403 amt3-2
amillepora17140 amy1
amillepora13046 amz2
amillepora18456 amz2-2
amillepora01675 an
amillepora02783 an-2
amillepora07291 an-3
amillepora07459 an-4
amillepora15861 an-5
amillepora21161 an-6
amillepora25525 an-7
amillepora28949 an-8
amillepora29340 an-9
amillepora33970 an-10
amillepora36035 an-11
amillepora38227 an-12
amillepora29999 an13b
amillepora30884 an13c
amillepora04823 an30a
amillepora05224 an32b
amillepora04957 an34b
amillepora08807 anag
amillepora15390 anc2
amillepora16488 anchr
amillepora09090 anfy1
amillepora23218 anfy1-2
amillepora02748 ange2
amillepora05783 ange2-2
amillepora16685 angl1
amillepora24411 angl3
amillepora33766 angl3-2
amillepora34392 angl6
amillepora37400 angl6-2
amillepora14757 angl7
amillepora18437 angl7-2
amillepora18530 angl7-3
amillepora18531 angl7-4
amillepora22843 angl7-5
amillepora22847 angl7-6
amillepora22854 angl7-7
amillepora22857 angl7-8
amillepora23506 angl7-9
amillepora23510 angl7-10
amillepora23512 angl7-11
amillepora23517 angl7-12
amillepora23519 angl7-13
amillepora30933 angl7-14
amillepora34391 angl7-15
amillepora34399 angl7-16
amillepora05138 angp2
amillepora05177 angp2-2
amillepora15251 angp2-3
amillepora37436 angp2-4
amillepora02647 ank1
amillepora02650 ank1-2
amillepora02652 ank1-3
amillepora03113 ank1-4
amillepora06339 ank1-5
amillepora11131 ank1-6
amillepora11133 ank1-7
amillepora11134 ank1-8
amillepora11136 ank1-9
amillepora11137 ank1-10
amillepora11140 ank1-11
amillepora11142 ank1-12
amillepora11149 ank1-13
amillepora11150 ank1-14
amillepora11152 ank1-15
amillepora11154 ank1-16
amillepora12058 ank1-17
amillepora14162 ank1-18
amillepora19365 ank1-19
amillepora19821 ank1-20
amillepora19825 ank1-21
amillepora25379 ank1-22
amillepora29647 ank1-23
amillepora29648 ank1-24
amillepora29649 ank1-25
amillepora31528 ank1-26
amillepora31532 ank1-27
amillepora31533 ank1-28
amillepora31548 ank1-29
amillepora31557 ank1-30
amillepora31559 ank1-31
amillepora31569 ank1-32
amillepora31571 ank1-33
amillepora31572 ank1-34
amillepora31573 ank1-35
amillepora31575 ank1-36
amillepora31576 ank1-37
amillepora36356 ank1-38
amillepora36607 ank1-39
amillepora36677 ank1-40
amillepora00258 ank2
amillepora00259 ank2-2
amillepora04682 ank2-3
amillepora05388 ank2-4
amillepora05391 ank2-5
amillepora16722 ank2-6
amillepora21045 ank2-7
amillepora23431 ank2-8
amillepora23432 ank2-9
amillepora31580 ank2-10
amillepora31936 ank2-11
amillepora31937 ank2-12
amillepora31940 ank2-13
amillepora32306 ank2-14
amillepora35325 ank2-15
amillepora00850 ank3
amillepora00865 ank3-2
amillepora07716 ank3-3
amillepora09625 ank3-4
amillepora09995 ank3-5
amillepora19770 ank3-6
amillepora20417 ank3-7
amillepora20436 ank3-8
amillepora22379 ank3-9
amillepora23527 ank3-10
amillepora24211 ank3-11
amillepora24312 ank3-12
amillepora26069 ank3-13
amillepora28464 ank3-14
amillepora35312 ank3-15
amillepora05469 ankar
amillepora12787 ankar-2
amillepora00546 anke1
amillepora00566 anke1-2
amillepora13573 ankf1
amillepora13575 ankf1-2
amillepora13577 ankf1-3
amillepora04437 ankh1
amillepora32023 ankh1-2
amillepora18133 ankk1
amillepora08520 ankl2
amillepora23273 anks3
amillepora31825 anks6
amillepora23173 ankub
amillepora24833 anky1
amillepora04968 anky2
amillepora17395 anky2-2
amillepora19256 anky2-3
amillepora21710 anky2-4
amillepora33214 anky2-5
amillepora37414 anky2-6
amillepora29598 ankz1
amillepora09079 anln
amillepora13104 anm1
amillepora04966 anm3
amillepora34059 anm5
amillepora08630 anm7
amillepora20023 anm9
amillepora14128 ano3
amillepora06706 ano4
amillepora14126 ano4-2
amillepora14127 ano4-3
amillepora04888 ano5
amillepora14125 ano5-2
amillepora19227 ano7
amillepora19229 ano7-2
amillepora32613 ano9
amillepora09497 anpra
amillepora14246 anpra-2
amillepora14248 anpra-3
amillepora14249 anpra-4
amillepora14251 anpra-5
amillepora14252 anpra-6
amillepora14254 anpra-7
amillepora14312 anpra-8
amillepora14313 anpra-9
amillepora26188 anpra-10
amillepora26830 anpra-11
amillepora12344 anprb
amillepora14311 anprb-2
amillepora07661 anr10
amillepora09029 anr12
amillepora17769 anr16
amillepora17770 anr17
amillepora32045 anr17-2
amillepora17954 anr26
amillepora13732 anr28
amillepora14682 anr28-2
amillepora24418 anr28-3
amillepora31579 anr28-4
amillepora35441 anr28-5
amillepora38189 anr28-6
amillepora25731 anr39
amillepora32585 anr42
amillepora00490 anr44
amillepora12861 anr44-2
amillepora00269 anr45
amillepora10459 anr49
amillepora19024 anr49-2
amillepora25020 anr49-3
amillepora00260 anr50
amillepora00532 anr50-2
amillepora00533 anr50-3
amillepora00579 anr50-4
amillepora00582 anr50-5
amillepora01611 anr50-6
amillepora01612 anr50-7
amillepora07209 anr50-8
amillepora00090 anr52
amillepora14101 anr52-2
amillepora27319 anr52-3
amillepora06208 anr53
amillepora08326 anr54
amillepora02504 anr55
amillepora08846 anr60
amillepora08847 anr60-2
amillepora10758 anr60-3
amillepora10763 anr60-4
amillepora00134 anr63
amillepora06219 anr63-2
amillepora13634 anr63-3
amillepora33076 anr63-4
amillepora00109 anr66
amillepora02781 anr66-2
amillepora20300 anr66-3
amillepora22080 anr66-4
amillepora25021 anr66-5
amillepora27320 anr66-6
amillepora32035 anr66-7
amillepora32038 anr66-8
amillepora23064 anra2
amillepora08473 ans1a
amillepora08821 ans1a-2
amillepora13445 ans1a-3
amillepora21247 ans1a-4
amillepora27481 ans1a-5
amillepora37969 ans1a-6
amillepora20542 antr2
amillepora16056 antr6
amillepora16768 anx13
amillepora16045 anxa6
amillepora00981 anxa7
amillepora01022 anxa7-2
amillepora16047 anxa7-3
amillepora16078 anxa7-4
amillepora04863 aoah
amillepora18834 aoc1
amillepora18874 aoc1-2
amillepora22256 aoc1-3
amillepora06879 aofa
amillepora10400 aofa-2
amillepora11086 aofa-3
amillepora15151 aofa-4
amillepora16591 aofa-5
amillepora16617 aofb
amillepora12883 aox
amillepora12886 aox-2
amillepora20709 ap1ar
amillepora34504 ap1b1
amillepora36303 ap1b1-2
amillepora26002 ap1m1
amillepora24822 ap1s2
amillepora23082 ap2a
amillepora13322 ap2a2
amillepora34500 ap2b1
amillepora34503 ap2b1-2
amillepora00511 ap2c
amillepora00515 ap2c-2
amillepora32202 ap2m1
amillepora25170 ap2s1
amillepora25174 ap2s1-2
amillepora01874 ap3b2
amillepora26067 ap3d1
amillepora00512 ap3m1
amillepora00514 ap3m1-2
amillepora05204 ap3s1
amillepora14826 ap4at
amillepora28045 ap4b1
amillepora05836 ap4e1
amillepora27265 ap4m1
amillepora02489 ap5b1
amillepora02492 ap5b1-2
amillepora16521 ap5m1
amillepora14560 ap5z1
amillepora14580 ap5z1-2
amillepora02636 apaf
amillepora10205 apaf-2
amillepora12635 apaf-3
amillepora31545 apaf-4
amillepora01282 apba1
amillepora01283 apba1-2
amillepora08001 apbb1
amillepora15545 apbb2
amillepora24907 apbp2
amillepora04485 apc
amillepora07513 apc1
amillepora07517 apc1-2
amillepora27332 apc11
amillepora20725 apc13
amillepora07210 apc15
amillepora24827 apc16
amillepora06122 apc5
amillepora24860 apc7
amillepora24874 apc7-2
amillepora10624 apcd1
amillepora08954 apd2
amillepora19240 apex1
amillepora35957 apex1-2
amillepora07949 apex2
amillepora10337 aph1a
amillepora13316 api5
amillepora11975 apj
amillepora14862 aplf
amillepora34773 aplp1
amillepora14092 aplp2
amillepora35533 aply
amillepora14900 apmap
amillepora14131 apn1
amillepora06928 apoa
amillepora03077 apob
amillepora21528 apoc3
amillepora15375 apod
amillepora17714 apod-2
amillepora10995 apol3
amillepora10997 apol3-2
amillepora10999 apol3-3
amillepora11001 apol3-4
amillepora11028 apol3-5
amillepora27357 apol3-6
amillepora37442 apol3-7
amillepora37444 apol3-8
amillepora00699 aprv1
amillepora02006 aprv1-2
amillepora07048 aprv1-3
amillepora11138 aprv1-4
amillepora16024 aprv1-5
amillepora19933 aprv1-6
amillepora25784 aprv1-7
amillepora25785 aprv1-8
amillepora26493 aprv1-9
amillepora28360 aprv1-10
amillepora30637 aprv1-11
amillepora36246 aprv1-12
amillepora37005 aprv1-13
amillepora09153 apt
amillepora12586 aqp11
amillepora10039 aqp3
amillepora10040 aqp3-2
amillepora22667 aqp4
amillepora22668 aqp4-2
amillepora22669 aqp4-3
amillepora35349 aqp5
amillepora10038 aqp9
amillepora15351 aqr
amillepora20049 ar13b
amillepora28810 ar2bp
amillepora22051 ar6p4
amillepora22198 arbk2
amillepora14460 arc1a
amillepora14605 arch
amillepora14642 arch-2
amillepora02345 arel1
amillepora02350 arel1-2
amillepora16071 arel1-3
amillepora16074 arel1-4
amillepora35459 arel1-5
amillepora12384 arf1
amillepora12398 arf1-2
amillepora03531 arf3
amillepora13775 arf3-2
amillepora09965 arf6
amillepora09966 arf6-2
amillepora23428 arfg1
amillepora05032 arfg3
amillepora07440 arfp2
amillepora35590 arfrp
amillepora26140 arg35
amillepora00663 argd
amillepora14903 argi1
amillepora36685 argi2
amillepora24628 argl1
amillepora20309 arh
amillepora24733 arhg7
amillepora08036 arhg8
amillepora32197 arhga
amillepora24324 arhgc
amillepora07594 arhgh
amillepora03494 ari1
amillepora05518 ari1-2
amillepora27323 ari1-3
amillepora19861 ari1b
amillepora16357 ari3c
amillepora16257 ari4a
amillepora04726 ari5b
amillepora04727 ari5b-2
amillepora04978 arid2
amillepora06447 arip4
amillepora16796 arip4-2
amillepora21906 ark72
amillepora27856 ark74
amillepora13185 arl1
amillepora01787 arl15
amillepora04375 arl2
amillepora03418 arl3
amillepora03430 arl3-2
amillepora14975 arl4a
amillepora10994 arl5b
amillepora19950 arl6
amillepora18433 arl8a
amillepora18482 arl8b
amillepora04090 arly
amillepora24850 arly-2
amillepora03118 arm10
amillepora23427 armc1
amillepora19964 armc2
amillepora18935 armc3
amillepora22454 armc5
amillepora03000 armc6
amillepora14674 armc7
amillepora26782 armc8
amillepora26787 armc8-2
amillepora26792 armc8-3
amillepora26799 armc8-4
amillepora19092 armc9
amillepora25118 armd1
amillepora05709 armd3
amillepora24167 armd4
amillepora16548 armt1
amillepora30123 armx4
amillepora35923 arob
amillepora05649 aroe
amillepora03833 arok
amillepora27963 aroq
amillepora24063 arp1
amillepora24069 arp1-2
amillepora15574 arp10
amillepora14887 arp2
amillepora27498 arp3
amillepora00278 arp5
amillepora00340 arp5-2
amillepora04912 arp6
amillepora14140 arp8
amillepora10819 arpa
amillepora03269 arpc2
amillepora25000 arpc3
amillepora31902 arpc4
amillepora01202 arpc5
amillepora24587 arrb1
amillepora02002 arrd2
amillepora06037 arrd3
amillepora06048 arrd3-2
amillepora10445 arrd3-3
amillepora06036 arrd4
